time,open,high,low,close,Volume,Volume MA,Up Trend,UpTrend Begins,Buy,Down Trend,DownTrend Begins,Sell,,WMA,%K,%D
2012-01-03T10:00:00+02:00,5572.8198,5699.9102,5572.8198,5699.9102,NaN,NaN,5364.444707684704,NaN,NaN,NaN,NaN,NaN,5636.365,5455.66094282353,79.90359927128452,48.09996853806202
2012-01-04T10:00:00+02:00,5699.8501,5719.8301,5646.3599,5668.4502,NaN,NaN,5416.3256769162335,NaN,NaN,NaN,NaN,NaN,5683.622574999999,5463.6529355294115,85.13774625538777,51.158273056906886
2012-01-05T10:00:00+02:00,5668.3901,5689.3301,5614.3799,5624.2598,NaN,NaN,5416.3256769162335,NaN,NaN,NaN,NaN,NaN,5649.089975,5469.770951529413,88.46205294265317,55.31146796201845
2012-01-06T10:00:00+02:00,5624.3999,5682.7798,5623.3599,5649.6802,NaN,NaN,5416.3256769162335,NaN,NaN,NaN,NaN,NaN,5645.05495,5476.826081490195,87.65909464608113,60.27536743551551
2012-01-09T10:00:00+02:00,5649.2798,5673.8198,5604.6201,5612.2598,NaN,NaN,5416.3256769162335,NaN,NaN,NaN,NaN,NaN,5634.994875,5482.316379921569,83.39961989997957,65.45809881767383
2012-01-10T10:00:00+02:00,5612.46,5711.8901,5612.46,5696.7002,NaN,NaN,5416.3256769162335,NaN,NaN,NaN,NaN,NaN,5658.3775749999995,5491.071776705883,82.21698935627907,70.68705645674905
2012-01-11T10:00:00+02:00,5696.8799,5700.75,5644.75,5670.8198,NaN,NaN,5426.962094316266,NaN,NaN,NaN,NaN,NaN,5678.299925,5498.825682980391,82.33814687690617,75.35357698570608
2012-01-12T10:00:00+02:00,5670.8501,5699.5698,5640.2998,5662.4199,NaN,NaN,5430.94468488464,NaN,NaN,NaN,NaN,NaN,5668.284900000001,5506.274824862744,83.92692201434322,79.50458124808827
2012-01-13T10:00:00+02:00,5662.9102,5709.2202,5583.4502,5636.6401,NaN,NaN,5430.94468488464,NaN,NaN,NaN,NaN,NaN,5648.055175,5512.620288549021,82.4715588655051,82.38821307584985
2012-01-16T10:00:00+02:00,5635.3999,5662.8799,5609.8701,5657.4399,NaN,NaN,5430.94468488464,NaN,NaN,NaN,NaN,NaN,5641.39745,5519.612748078432,83.2244148933012,83.87401450217209
2012-01-17T10:00:00+02:00,5657.6099,5724.4102,5657.6099,5693.9502,NaN,NaN,5451.8204100809035,NaN,NaN,NaN,NaN,NaN,5683.39505,5527.901031294116,81.79749530596735,84.06340410564037
2012-01-18T10:00:00+02:00,5693.96,5709.8701,5647.9199,5702.3701,NaN,NaN,5451.8204100809035,NaN,NaN,NaN,NaN,NaN,5688.530025,5536.403185019609,82.36613956860734,83.78624343696232
2012-01-19T10:00:00+02:00,5702.5098,5743.9302,5693.1602,5741.1499,NaN,NaN,5492.844037665532,NaN,NaN,NaN,NaN,NaN,5720.187525,5546.288695686275,85.39746716158035,83.47978485885503
2012-01-20T10:00:00+02:00,5741.1401,5749.77,5721.6099,5728.5498,NaN,NaN,5524.110873898978,NaN,NaN,NaN,NaN,NaN,5735.26745,5555.499433725491,88.04115340016646,83.51799073426356
2012-01-23T10:00:00+02:00,5728.5601,5789.8501,5723.0898,5782.5601,NaN,NaN,5546.02069150908,NaN,NaN,NaN,NaN,NaN,5756.015025,5566.701783529413,92.08196533807028,84.38622527807263
2012-01-24T10:00:00+02:00,5782.3301,5782.3301,5719.8599,5751.8999,NaN,NaN,5546.02069150908,NaN,NaN,NaN,NaN,NaN,5759.1050000000005,5576.44908219608,91.01416872620415,85.26594321506514
2012-01-25T10:00:00+02:00,5752.02,5777.6899,5694.0498,5723,NaN,NaN,5546.02069150908,NaN,NaN,NaN,NaN,NaN,5736.689925000001,5584.822204313725,86.4736924614676,85.67949777352129
2012-01-26T10:00:00+02:00,5722.8301,5806.2402,5722.8301,5795.2002,NaN,NaN,5548.2756349601195,NaN,NaN,NaN,NaN,NaN,5761.7751499999995,5595.887396941176,85.74902621116007,85.86170819320297
