time,open,high,low,close,Volume,Volume MA,Up Trend,UpTrend Begins,Buy,Down Trend,DownTrend Begins,Sell,,WMA,%K,%D,K-D
2012-01-02T02:00:00+02:00,1831.6899,1837.8101,1814.55,1826.37,NaN,NaN,NaN,NaN,NaN,1896.6382108909465,NaN,NaN,1827.605,1854.561626745098,53.86972390816525,43.83786002922764,10.031863878937607
2012-01-03T02:00:00+02:00,1846.5601,1875.41,1846.5601,1875.41,NaN,NaN,NaN,NaN,NaN,1896.6382108909465,NaN,NaN,1860.98505,1854.9388578039213,61.74124432910693,46.64300425898653,15.098240070120397
2012-01-04T02:00:00+02:00,1883.48,1884.6899,1866.22,1866.22,NaN,NaN,NaN,NaN,NaN,1896.6382108909465,NaN,NaN,1875.152475,1854.973665254902,68.53600836804314,50.85037175063337,17.68563661740977
2012-01-05T02:00:00+02:00,1869.42,1875.97,1860.5699,1863.74,NaN,NaN,NaN,NaN,NaN,1896.6382108909465,NaN,NaN,1867.424975,1854.928809960784,75.64389718829058,55.79369957909781,19.85019760919277
2012-01-06T02:00:00+02:00,1867.12,1867.12,1824.29,1843.14,NaN,NaN,NaN,NaN,NaN,1896.6382108909465,NaN,NaN,1850.4175,1854.1000880784316,79.59795694343006,60.401903355754314,19.19605358767575
2012-01-09T02:00:00+02:00,1832.04,1832.04,1810.48,1826.49,NaN,NaN,NaN,NaN,NaN,1896.6382108909465,NaN,NaN,1825.2624999999998,1852.6803073725491,76.7939099385113,63.79724345988886,12.996666478622444
2012-01-10T02:00:00+02:00,1841.13,1859.55,1840.47,1853.22,NaN,NaN,NaN,NaN,NaN,1896.6382108909465,NaN,NaN,1848.5925000000002,1852.3895384313726,68.70499066217242,65.46572647897491,3.2392641831975055
2012-01-11T02:00:00+02:00,1857.54,1857.8199,1843.12,1845.55,NaN,NaN,NaN,NaN,NaN,1896.6382108909465,NaN,NaN,1851.007475,1851.8417577254904,61.39945316308696,65.83414750768897,-4.434694344602008
2012-01-12T02:00:00+02:00,1853.1,1864.5699,1837.96,1864.5699,NaN,NaN,NaN,NaN,NaN,1896.6382108909465,NaN,NaN,1855.04995,1852.09011427451,59.352629101819936,66.11656925501964,-6.763940153199705
2012-01-13T02:00:00+02:00,1865.72,1881.84,1861.53,1875.6801,NaN,NaN,NaN,NaN,NaN,1896.6382108909465,NaN,NaN,1871.192525,1852.8003924705881,63.234099691078995,66.88739132937056,-3.653291638291563
